ID,YEAR,SEX,ETHNICITY,FSE,AdmitMode,FirstSch,CurrSch,ParIncome,FatherEd,MotherEd,FirstGen,PGPA_NS,PGPA_BA,PGPA_EN,PGPA_LA,HS Calc,UTMA,ALEKS DATE-1,AGGR SCORE-1,RADICALS-1,NUMBERS-1,EQUATIONS-1,FUNCTIONS-1,POLYNOMIALS-1,RATIONAL-EXP-1,LOGARITHMS-1,TRIG-1,ALEKS DATE-H,AGGR SCORE-H,RADICALS-H,NUMBERS-H,EQUATIONS-H,FUNCTIONS-H,POLYNOMIALS-H,RATIONAL-EXP-H,LOGARITHMS-H,TRIG-H,SATQ,SATV,SATTot,ACTMath,ACTENG,ACTComp,AP-BIO,AP-CALC-AB,AP-CALC-BC,AP-CALC-AB-SUB,AP-CHEM,AP-CS-A,AP-CS-AB,UT-GPA,Math Course,Math Grade,Chem Course,Chem Grade,Bio Course,Bio Grade,CS Course,CS Grade,Math GPA,Math P/F
7418,2015,W,Asian White,20159,2,4,4,E,4,4,N,3.743,3.762,3.509,3.611,R,11,6/11/2015,85,80,100,96,82,76,78,50,59,6/11/2015,85,80,100,96,82,76,78,50,59,720,540,1260,33,29,29,,,,,,,,3.5007,408C,A,301,B-,311C,B,,,4,1
7419,2015,M,Asian,20159,4,E,E,H,5,5,N,,,,,A,,,,,,,,,,,,,,,,,,,,,,620,610,1230,26,26,24,,,4,4,,,,3.0006,408D,C,,,,,314,A-,2,1
7420,2015,M,White,20149,2,E,E,G,5,4,N,3.763,3.893,3.634,3.881,R,,,,,,,,,,,,6/21/2014,88,94,100,96,94,91,85,71,75,660,730,1390,36,34,33,,4,3,4,,4,,2.2493,408M,C,301,B,,,377P,D,2,1
7421,2015,M,Asian,20149,2,U,U,A,6,4,N,3.223,2.726,2.827,2.728,R,,6/1/2015,72,55,100,98,59,57,48,25,28,6/3/2014,98,94,100,100,100,91,100,93,100,610,510,1120,,,,,,2,3,,,,2.4361,427J,C-,,,,,,,1.666,1
7422,2015,W,Hispanic White,20149,2,C,C,C,0,3,N,3.213,3.327,3.084,3.257,R,,,,,,,,,,,,,,,,,,,,,,610,530,1140,26,26,22,,4,4,3,3,,,2.11,362K,C+,301,D,311C,Q,,,2.333,1
7423,2015,W,,20159,2,L,L,A,0,0,Y,3.463,3.311,3.073,3.218,R,,,,,,,,,,,,,,,,,,,,,,590,640,1230,26,25,29,,,3,3,2,,,3.468,,,,,,,,,,
7424,2015,M,,20159,2,4,4,,,,U,3.404,3.436,3.244,3.434,,16,6/25/2015,78,80,100,96,50,76,52,30,41,6/25/2015,78,80,100,96,50,76,52,30,41,630,500,1130,26,29,28,,,,,,,,3.846,408C,A-,301,A-,,,,,3.666,1
7425,2015,W,Hispanic,20159,2,C,C,C,4,4,N,3.563,3.312,3.177,3.388,,,,,,,,,,,,,,,,,,,,,,,600,690,1290,23,34,29,,,,,,,,2.9175,,,,,,,,,,
7426,2015,W,Hispanic White,20159,2,U,U,F,3,3,N,3.193,2.736,2.907,2.878,,,,,,,,,,,,,,,,,,,,,,,570,500,1070,,,,,,,,,,,1.8,,,,,,,,,,
7427,2015,W,White,20159,2,4,4,H,4,4,N,4.083,4.011,3.814,3.919,A,17,5/26/2015,83,85,100,100,73,71,78,55,41,5/26/2015,83,85,100,100,73,71,78,55,41,770,730,1500,35,34,35,5,5,5,5,4,,,4,408D,A,302,A,,,,,4,1
7428,2015,W,White,20159,3,9,9,F,2,4,N,3.662,3.738,3.499,3.789,R,,,,,,,,,,,,,,,,,,,,,,,,,33,34,34,,1,,,,,,2.75,,,,,,,,,,
7429,2015,W,White,20159,2,C,C,I,2,2,Y,3.453,3.026,3.237,3.408,A,,,,,,,,,,,,,,,,,,,,,,540,640,1180,,,,,,3,3,,,,3.415,,,,,,,,,,
7430,2015,M,Hispanic White,20159,2,E,E,F,1,3,N,3.123,2.658,2.69,2.607,R,13,5/7/2015,73,85,100,98,55,38,43,35,24,6/16/2015,95,100,100,98,100,90,96,80,72,590,500,1090,,,,,1,,,,,,4,408N,A,301,A,311C,A,,,4,1
7431,2015,W,Asian,20159,2,4,4,D,4,3,N,3.713,3.5,3.405,3.498,A,17,6/5/2015,78,75,100,98,55,76,65,50,24,6/5/2015,78,75,100,98,55,76,65,50,24,680,640,1320,28,33,33,4,5,,,4,,,2.8446,408D,C,,,,,,,2,1
7432,2015,M,White,20159,2,L,L,H,3,4,N,2.436,2.635,2.089,3.16,R,,,,,,,,,,,,,,,,,,,,,,,,,30,33,32,,,,,,,,1.585,,,304K,C,,,,,,
7433,2015,M,Asian,20159,3,2,2,H,5,5,N,3.765,3.831,3.604,3.881,R,12,6/13/2015,72,70,100,96,55,48,43,40,31,6/13/2015,72,70,100,96,55,48,43,40,31,,,,34,34,33,,,4,4,,,,3.668,,,,,,,,,,
7434,2015,W,White,20159,2,E,E,,4,2,N,3.403,3.375,3.159,3.374,A,16,5/9/2015,77,75,100,96,59,71,48,40,31,5/9/2015,77,75,100,96,59,71,48,40,31,620,650,1270,26,30,28,4,3,3,3,2,,,3.4361,408S,B-,301,A,311C,B+,,,2.666,1
7435,2015,W,Asian,20159,2,4,4,B,4,6,N,3.583,3.016,3.317,3.088,A,14,5/26/2015,75,65,100,98,59,48,57,35,41,5/26/2015,75,65,100,98,59,48,57,35,41,680,520,1200,,,,2,,1,1,2,,,2.8092,408C,C+,301,B-,,,,,2.333,1
7436,2015,M,Asian,20159,2,E,E,C,5,4,N,3.83,3.967,3.729,3.884,R,17,6/1/2015,79,75,100,98,55,76,65,25,59,6/1/2015,79,75,100,98,55,76,65,25,59,,,,36,32,32,,,5,5,4,4,,3.6146,408M,A,,,,,314,B,4,1
7437,2015,M,Asian,20159,2,4,4,,5,5,N,3.441,3.622,3.269,3.723,R,,8/19/2015,87,80,100,100,73,81,74,50,76,8/19/2015,87,80,100,100,73,81,74,50,76,,,,34,34,34,,,,,,,,0,325K,W,,,,,,,0,0
